št;maticna;skd_pod;leto;f01;f02;f03;f04;f05;f06;f07;f08;f09;f10;f11;f12;f13;f14;f15;f16;f17;f18;f19;f21;f22;f23;f24;f25;f26;f27;f28;f29;f30;f31;f32;f33;f35;f36;f37;f38;f39;f40;f41;f42;f43;f44;f46;f47;default
15;7039522000;I;2017;-2,00;0,29;0,04;0,03;1,03;1,03;17183,18;1525,87;0,27;-0,19;0,00;0,86;0,86;0,76;0,10;-0,88;-0,15;-0,02;0,01;-0,07;1,07;-0,07;3,38;0,00;1,16;1,00;0,08;0,92;0,00;0,92;0,00;10,55;71,72;5,91;11,54;0,00;0,35;0,04;0,38;0,35;0,43;1,26;1,00;11,04;0,00
16;3567303000;I;2016;0,18;0,02;0,08;0,02;1,02;1,02;28682,40;2767,67;0,02;0,08;0,00;0,76;0,95;0,19;1,36;0,34;-0,05;-0,04;0,42;0,11;0,89;0,13;9,05;0,00;1,06;0,00;0,10;0,84;0,04;0,84;-0,14;1,25;3,26;3,67;1,49;0,00;0,20;0,15;0,18;0,20;0,12;0,25;0,99;12,96;0,00
17;6579728000;I;2016;-2,00;-0,20;-0,10;-0,10;0,95;0,91;-5245,19;-9325,04;-0,41;-0,58;1,00;0,80;0,88;0,80;0,00;-1,37;-0,13;-0,03;0,00;-0,12;1,12;-0,11;150,00;0,00;1,13;1,00;0,00;0,22;0,76;0,99;0,06;3,66;19,88;3,71;14,24;0,00;-0,08;-0,02;-0,09;-0,08;-0,14;0,08;0,36;9,35;0,00
18;3881199000;I;2015;0,01;0,01;0,00;0,00;1,00;1,00;18554,00;636,33;0,01;0,11;0,00;1,06;3,60;0,34;0,71;1,01;0,37;0,04;0,01;0,86;0,14;5,94;15,06;0,00;0,28;0,00;0,48;0,52;0,00;0,52;0,22;8,07;100,34;30,80;12,94;21,64;-1,25;-0,02;-0,18;-1,25;-0,21;-0,10;-0,86;9,23;0,00
19;5332362000;I;2014;0,06;0,04;0,06;0,04;1,05;1,04;27462,84;2151,37;0,05;0,35;0,00;3,08;3,08;3,04;0,18;5,47;0,59;0,52;0,01;0,72;0,28;2,55;4,35;0,00;0,32;0,00;0,12;0,65;0,23;0,87;0,00;1,15;80,30;6,19;2,08;2,02;0,20;0,05;0,06;0,20;0,05;-0,12;-0,30;11,43;0,00
20;5669243000;I;2015;0,17;0,06;-0,03;-0,04;1,01;0,97;14300,58;924,20;-0,19;0,01;0,00;1,39;1,52;1,24;0,24;2,44;0,31;0,06;0,02;0,40;0,60;0,67;150,00;0,00;0,66;0,00;0,09;0,91;0,00;0,91;0,19;4,73;50,24;8,90;5,53;17,39;-0,07;-0,01;-0,04;-0,07;-0,22;0,05;-0,14;10,81;0,00
21;2162750000;I;2016;-0,02;-0,01;0,02;-0,23;0,76;0,81;21936,99;-18506,14;-0,01;-0,05;1,00;4,48;6,95;3,21;1,27;1,01;0,01;0,18;0,04;0,75;0,25;3,03;240,28;0,25;0,14;0,00;0,99;0,01;0,00;0,01;0,15;0,05;14,56;3,83;2,53;4,44;-4,78;-0,30;-0,01;-0,05;0,14;0,30;-0,54;15,97;0,00
22;6294421000;I;2016;0,26;0,04;0,03;0,01;1,01;1,01;22426,77;849,03;0,04;0,03;0,00;0,71;0,94;0,17;0,55;0,70;-0,04;-0,01;0,12;0,16;0,84;0,19;8,15;0,15;1,06;0,00;0,28;0,54;0,04;0,65;0,27;3,54;11,59;3,78;6,74;0,00;0,05;0,01;0,03;0,04;0,37;0,20;0,23;14,30;0,00
23;7232985000;I;2017;1,17;0,60;0,12;0,12;1,14;1,14;17238,42;3670,12;0,35;0,00;0,00;2,56;2,61;2,54;0,02;3,16;0,49;0,17;0,00;0,51;0,49;1,04;1,40;0,19;0,38;0,00;0,21;0,02;0,77;0,79;1,00;5,64;973,90;9,34;93,36;11,55;1,92;0,21;0,58;1,19;0,02;0,07;1,00;10,48;0,00
24;1510142000;I;2013;-2,00;-0,08;-0,02;-0,02;0,98;0,98;18554,00;636,33;-0,09;-0,39;1,00;0,72;0,78;0,72;0,00;-2,03;-0,27;-0,07;0,00;-0,24;1,24;-0,19;150,00;0,00;1,28;1,00;0,04;0,10;0,86;0,96;0,00;3,39;19,88;2,96;41,93;0,00;-0,24;-0,08;-0,30;-0,24;-0,23;0,10;0,23;10,48;0,00
25;5375495000;I;2013;0,08;0,01;0,07;0,03;1,02;1,03;25429,21;1193,94;0,03;0,15;0,00;2,46;2,77;0,58;1,88;1,17;0,16;0,16;0,17;0,18;0,82;0,22;12,97;0,73;0,36;0,00;0,31;0,25;0,40;0,25;0,03;1,03;7,51;8,86;5,63;8,74;0,54;0,05;0,05;0,06;0,11;0,36;0,67;14,37;0,00
26;6313795000;I;2014;0,76;0,09;0,10;0,04;1,04;1,04;24568,00;4064,00;0,08;0,00;0,00;0,50;0,56;0,44;0,06;0,29;-0,37;-0,16;0,02;0,16;0,84;0,19;3,68;0,00;1,80;0,00;0,52;0,45;0,01;0,47;0,16;2,35;55,18;2,19;5,13;0,00;0,26;0,09;0,21;0,26;0,07;4,16;1,00;11,13;0,00
27;6940269000;I;2016;0,00;0,00;0,86;0,00;1,01;1,00;18554,00;636,33;0,00;0,00;0,00;23,32;26,36;13,47;12,11;1,03;0,03;1,07;1,00;0,97;0,03;30,18;0,21;0,00;0,03;0,00;0,97;0,03;0,00;0,03;0,00;0,03;2,00;6,12;0,02;1,73;-4,78;-0,01;0,00;-3,39;0,00;307,45;1,00;14,94;0,00
28;6315992000;I;2015;-2,00;0,87;0,39;0,39;1,63;1,64;18554,00;636,33;0,70;-18,11;0,00;0,01;0,01;0,00;0,02;-33,11;-16,69;-1,38;0,02;-18,53;19,53;-0,95;3,60;0,00;81,07;1,00;0,70;0,30;0,00;0,30;0,00;0,02;7,58;0,47;2,55;0,00;-0,36;-0,50;-3,59;-0,36;-0,80;-0,78;1,00;7,54;0,00
29;2294184000;I;2014;0,05;0,01;0,10;0,03;1,01;1,03;27620,83;1081,25;0,02;0,04;0,00;0,37;0,50;0,32;0,15;0,77;-0,16;-0,17;0,02;0,14;0,86;0,17;9,84;0,54;2,06;0,00;0,79;0,16;0,00;0,16;0,01;0,86;95,27;8,85;5,97;0,00;0,37;0,13;0,11;0,13;-0,03;0,41;-0,83;11,97;0,00
30;3873323000;I;2017;-0,03;0,00;0,61;-0,26;1,00;0,79;90119,76;-1295,39;-0,04;0,02;0,00;1,15;1,15;0,42;1,17;1,72;0,11;0,68;2,63;0,05;0,95;0,05;9,66;0,21;0,87;0,00;0,15;0,54;0,31;0,85;-0,47;0,13;0,40;0,06;0,09;0,85;0,40;1,12;0,30;0,31;-0,35;-0,78;-1,00;14,22;0,00
31;1450883000;I;2013;0,02;0,01;0,06;0,00;1,01;1,00;24938,27;325,24;0,00;0,43;0,00;1,04;1,04;0,88;0,19;1,07;0,01;0,00;0,02;0,65;0,35;1,87;2,64;0,14;0,96;0,00;0,73;0,18;0,00;0,22;0,31;2,30;69,06;7,04;13,34;275,17;0,98;0,10;0,21;0,60;0,27;0,07;1,00;12,03;0,00
