št;maticna;skd_pod;leto;f01;f02;f03;f04;f05;f06;f07;f08;f09;f10;f11;f12;f13;f14;f15;f16;f17;f18;f19;f21;f22;f23;f24;f25;f26;f27;f28;f29;f30;f31;f32;f33;f35;f36;f37;f38;f39;f40;f41;f42;f43;f44;f46;f47;default
1923;6414486000;I;2015;0,54;0,22;0,10;0,10;1,11;1,11;20039,71;6634,86;0,23;0,19;0,00;0,99;1,07;0,91;0,14;0,99;0,04;0,02;0,02;0,44;0,56;0,79;2,23;0,00;0,93;0,00;0,40;0,27;0,33;0,60;0,92;2,78;61,99;6,46;6,70;20,01;0,63;0,14;0,35;0,63;0,35;0,11;0,02;11,72;0,00
1924;6496270000;I;2014;0,66;0,27;0,02;0,02;1,02;1,02;13769,99;1115,54;0,16;0,00;0,00;1,25;1,39;1,17;0,09;2,30;0,27;0,03;0,01;0,31;0,69;0,45;3,85;0,00;0,72;0,00;0,04;0,96;0,00;0,96;1,28;15,14;253,09;19,62;15,37;41,12;1,05;0,08;0,72;1,05;5,41;0,07;1,00;10,78;0,00
1925;6498051000;I;2014;1,24;0,55;0,06;0,05;1,06;1,06;22934,20;3617,78;0,35;0,00;0,00;1,10;1,19;0,71;0,39;1,19;0,11;0,02;0,04;0,39;0,61;0,64;1,62;0,00;0,84;0,00;0,28;0,72;0,00;0,72;1,10;12,09;55,64;15,45;15,28;63,96;1,06;0,10;0,65;1,06;9,72;307,45;1,00;11,28;0,00
1926;5508088000;I;2014;0,26;0,11;0,08;0,04;1,05;1,04;23662,99;2420,65;0,10;0,32;0,00;0,20;0,33;0,13;0,07;0,82;-0,15;-0,06;0,01;0,44;0,56;0,79;2,66;0,34;3,00;0,00;0,92;0,07;0,00;0,07;0,20;2,73;108,48;8,60;29,86;0,00;1,35;0,11;0,30;0,54;0,06;0,24;0,71;13,45;0,00
1927;7056460000;I;2016;0,24;0,22;0,06;0,05;1,05;1,05;25105,09;9471,09;0,13;0,00;0,00;7,84;8,45;4,41;3,43;2,81;0,64;0,24;0,11;0,91;0,09;10,63;0,52;0,00;0,12;0,00;0,27;0,73;0,00;0,73;1,13;5,32;18,03;46,24;6,87;8,31;-1,35;-0,04;-0,12;-1,35;0,02;0,07;1,00;9,14;0,00
1928;1880241000;I;2016;0,05;0,01;0,55;0,09;1,09;1,10;18554,00;636,33;0,01;0,07;0,00;12,54;12,54;3,43;9,11;1,12;0,10;0,78;0,61;0,17;0,83;0,21;11,33;0,82;0,08;0,00;0,78;0,11;0,00;0,11;0,11;0,13;1,65;8,39;0,42;0,99;6,00;0,51;0,07;0,08;-0,02;0,06;0,26;13,27;0,00
1929;6206336000;I;2014;2,65;0,87;0,22;0,22;1,28;1,28;25012,68;11439,71;0,70;0,00;0,00;1,88;2,00;1,32;0,61;4,52;0,47;0,12;0,07;0,53;0,47;1,13;0,56;0,00;0,50;0,00;0,06;0,42;0,53;0,94;1,02;6,41;19,90;5,17;9,76;30,67;1,31;0,16;0,61;1,31;3,95;1,97;1,00;11,06;0,00
1930;3977480000;I;2013;1,17;0,19;0,12;0,07;1,07;1,08;22836,72;5857,81;0,11;0,00;0,00;0,33;0,33;0,17;0,23;0,82;-0,17;-0,11;0,03;0,14;0,86;0,16;4,87;0,61;3,04;0,00;0,89;0,06;0,02;0,08;1,04;2,87;73,63;11,00;35,78;0,00;1,13;0,19;0,29;0,33;11,82;15,45;0,98;12,35;0,00
1931;3705315000;I;2017;0,45;0,11;0,08;0,07;1,06;1,07;25447,78;8196,97;0,15;0,12;0,00;1,66;1,66;1,28;0,39;2,28;0,30;0,13;0,08;0,31;0,69;0,45;3,61;0,23;0,60;0,00;0,24;0,56;0,21;0,76;0,70;2,25;8,15;3,71;3,42;7,14;0,53;0,11;0,24;0,36;-0,03;0,55;0,42;11,58;0,00
1932;7125186000;I;2017;-0,01;0,00;0,00;0,00;1,00;1,00;18554,00;636,33;0,00;0,00;1,00;0,99;0,99;0,40;0,60;0,99;0,00;0,00;0,13;0,44;0,56;0,79;150,00;0,00;1,01;0,00;0,00;0,49;0,51;0,55;0,00;2,44;7,88;4,19;4,42;0,00;-0,10;-0,02;-0,05;-0,10;-0,12;1,37;-0,26;9,73;0,00
1933;5397006000;I;2014;0,03;0,01;0,03;0,02;1,01;1,02;18474,00;585,50;0,04;0,21;0,00;0,68;1,18;0,01;1,18;0,66;0,11;0,05;0,18;0,38;0,62;0,61;9,29;0,00;0,85;0,00;0,21;0,73;0,06;0,73;0,00;2,55;6,68;7,99;3,59;25,84;0,10;0,03;0,06;0,10;0,21;0,30;0,14;11,49;0,00
1934;3616932000;I;2013;-2,00;-0,21;-0,02;-0,03;0,97;0,97;20854,18;-1712,24;-0,19;-0,18;0,00;0,45;0,55;0,09;1,28;-1,00;-0,60;-0,09;0,08;-0,33;1,33;-0,25;150,00;0,00;1,83;1,00;0,21;0,66;0,01;0,73;0,34;6,38;10,88;10,28;9,77;0,00;0,00;0,00;0,01;0,00;-0,02;0,11;-1,00;11,86;0,00
1935;2214121000;I;2015;-0,01;-0,01;0,10;0,07;1,00;1,07;18554,00;636,33;0,10;-0,11;0,00;1,63;1,63;0,06;1,57;1,53;0,21;0,15;0,36;0,66;0,34;1,97;2,28;0,00;0,61;0,00;0,22;0,53;0,22;0,55;0,38;1,42;2,88;3,55;2,12;5,43;-0,17;-0,04;-0,06;-0,17;-0,07;-0,65;-1,00;9,44;0,00
1936;2161931000;I;2015;-0,01;0,00;0,28;0,24;0,93;1,32;58833,25;-7527,49;0,02;-0,09;1,00;0,79;0,79;0,03;1,10;1,00;-0,01;-0,09;0,32;0,53;0,47;1,14;27,75;0,44;1,54;0,00;0,86;0,01;0,00;0,02;0,00;0,04;3,41;1,20;2,83;0,00;-0,58;-0,24;-0,01;-0,03;0,01;0,48;0,65;15,72;0,00
1937;5053587000;I;2013;-0,03;-0,02;0,10;-0,03;0,95;0,98;26214,16;-2650,01;-0,01;0,00;0,00;0,14;0,17;0,02;0,32;0,87;-0,12;-0,38;0,06;0,66;0,34;1,93;10,74;0,19;5,94;0,00;0,97;0,02;0,00;0,03;0,00;0,32;14,10;2,52;11,22;0,00;0,19;0,09;0,03;0,08;-0,04;-0,06;-1,00;16,26;0,00
1938;1624156000;I;2014;0,06;0,03;0,03;0,00;1,01;1,00;24979,17;510,83;0,03;0,44;0,00;1,65;1,69;1,16;0,49;1,98;0,32;0,05;0,04;0,47;0,53;0,88;2,72;0,00;0,68;0,00;0,22;0,54;0,24;0,78;0,46;5,94;24,27;9,42;13,16;25,15;0,58;0,04;0,27;0,51;-0,06;0,05;0,30;9,96;0,00
1939;1483595000;I;2015;-0,09;-0,05;0,06;-0,10;0,90;0,91;19045,00;-5466,00;-0,04;-0,19;1,00;0,05;0,08;0,05;0,01;0,54;-0,44;-1,01;0,00;0,52;0,48;1,10;18,92;0,00;12,62;0,00;0,96;0,04;0,00;0,04;0,00;0,42;195,19;8,85;12,64;0,00;0,03;0,04;0,02;0,03;-0,05;-0,04;0,43;11,59;0,00
1940;5285194000;I;2016;-0,04;-0,01;0,19;0,07;0,97;1,07;30305,30;-1551,79;0,02;0,00;1,00;0,27;0,30;0,22;0,10;0,86;-0,13;-0,42;0,03;0,22;0,78;0,28;13,47;0,60;3,38;0,00;0,94;0,01;0,04;0,06;0,02;0,30;33,35;1,33;19,19;0,00;0,17;0,10;0,03;0,04;-0,02;0,10;0,51;15,47;0,00
1941;5787424000;I;2015;0,25;0,13;0,14;0,05;1,10;1,06;21796,00;4516,00;0,08;0,00;0,00;0,66;0,66;0,23;0,44;0,79;-0,15;-0,09;0,12;0,56;0,44;1,29;1,90;0,00;1,51;0,00;0,43;0,25;0,04;0,29;0,00;1,63;10,16;2,29;7,12;0,00;0,50;0,14;0,22;0,50;0,05;0,28;0,16;10,50;0,00
1942;6370063000;I;2013;0,01;0,01;0,00;0,00;1,00;1,00;10393,00;23,50;0,01;0,00;0,00;0,54;1,60;0,11;0,43;0,58;0,36;0,09;0,06;0,39;0,61;0,64;80,23;0,00;0,63;0,00;0,03;0,97;0,00;0,97;1,07;8,58;32,70;10,55;8,82;23,65;-0,48;-0,07;-0,29;-0,48;0,02;0,07;1,00;9,87;0,00
1943;5770718000;I;2015;0,01;0,01;0,10;0,00;1,01;1,00;22196,35;242,24;0,00;0,02;0,00;0,45;0,57;0,28;0,45;0,86;-0,10;-0,11;0,05;0,65;0,36;1,82;3,97;0,12;1,75;0,00;0,86;0,13;0,00;0,14;0,25;0,97;31,26;4,91;6,82;0,00;0,33;0,09;0,08;0,22;0,17;0,04;0,04;12,85;0,00
1944;3598837000;I;2014;-2,00;-0,03;0,16;0,05;0,90;1,05;35710,39;-9217,06;0,01;-0,23;1,00;1,88;1,97;1,63;0,46;1,03;0,03;0,14;0,04;0,05;0,95;0,06;24,75;0,91;0,51;0,00;0,92;0,02;0,06;0,07;0,00;0,22;17,26;1,86;6,29;0,00;-2,87;-0,41;-0,10;-0,10;-0,04;-0,01;0,93;15,46;0,00
1945;1518020000;I;2014;-0,25;-0,13;-0,09;-0,10;0,91;0,91;11433,71;-2589,89;-0,12;0,41;0,00;1,60;1,75;0,07;2,63;1,98;0,34;0,28;0,58;0,44;0,56;0,79;150,00;0,11;0,57;0,00;0,08;0,79;0,00;0,79;0,06;1,12;1,88;2,23;1,54;2,36;-0,73;-0,28;-0,33;-0,59;0,03;-0,36;-1,00;10,93;0,00
1946;3950760000;I;2014;0,02;0,00;-0,01;-0,03;1,00;0,97;17329,78;143,33;-0,02;0,03;0,00;0,34;0,34;0,00;0,34;0,54;-0,37;-0,63;0,33;0,19;0,81;0,24;150,00;0,24;3,00;0,00;0,22;0,19;0,58;0,19;0,17;0,82;5,27;0,56;5,21;0,00;0,13;0,13;0,07;0,09;1,34;-0,41;-0,62;12,46;0,00
1947;3705315000;I;2016;0,27;0,06;0,08;0,05;1,04;1,05;27149,71;4508,36;0,06;0,07;0,00;1,58;1,58;0,92;0,66;3,96;0,33;0,23;0,26;0,19;0,81;0,24;7,45;0,25;0,63;0,00;0,11;0,65;0,24;0,89;0,41;1,83;3,89;2,51;2,53;7,57;0,50;0,20;0,28;0,35;0,97;0,16;-0,08;11,61;0,00
1948;5644356000;I;2016;0,05;0,02;0,06;0,06;1,06;1,06;18554,00;636,33;0,04;-0,14;0,00;1,26;1,26;1,25;0,00;1,10;0,07;0,09;0,00;0,37;0,63;0,59;14,53;0,37;0,80;0,00;0,53;0,33;0,00;0,33;0,00;0,70;207,13;2,02;1,73;12,87;-0,62;-0,21;-0,16;-0,26;-0,14;-0,09;1,00;9,96;0,00
1949;3873323000;I;2014;0,11;0,01;0,17;-0,04;1,02;0,96;40602,22;2501,85;-0,01;0,00;0,00;0,17;0,17;0,03;0,14;0,43;-0,40;-1,24;0,21;0,04;0,96;0,05;17,26;0,34;7,51;0,00;0,88;0,03;0,01;0,08;0,79;0,47;7,37;0,82;0,00;0,00;1,06;1,12;0,51;0,53;1,74;3,39;0,40;14,21;0,00
1950;6907440000;I;2016;0,01;0,01;0,02;0,00;1,00;1,00;13291,72;90,90;0,01;0,00;0,00;0,00;0,01;0,00;0,00;0,84;-0,16;-0,03;0,00;0,84;0,16;5,33;1,37;0,00;1,14;0,00;0,48;0,00;0,52;0,00;0,02;4,37;19,88;10,47;93,36;0,00;-0,72;-0,02;-0,11;-0,72;-0,36;0,07;1,00;9,10;0,00
1951;6688659000;I;2014;0,79;0,60;0,12;0,12;1,14;1,14;19358,54;6196,34;0,35;0,00;0,00;2,87;4,05;0,09;2,78;2,58;0,75;0,25;0,23;0,75;0,25;3,05;0,70;0,00;0,25;0,00;0,00;1,00;0,00;1,00;0,06;5,97;8,71;12,59;5,26;7,93;-1,75;-0,15;-0,43;-1,75;0,02;0,07;1,00;9,74;0,00
1952;3512843000;I;2016;-2,00;-0,04;0,32;-0,23;0,64;0,81;45916,94;-54677,49;-0,02;-0,38;1,00;0,01;0,01;0,01;0,01;0,91;-0,09;-1,23;0,01;-0,38;1,38;-0,28;60,54;1,29;78,07;1,00;0,99;0,00;0,00;0,00;0,00;0,07;165,11;0,62;53,74;0,00;0,02;0,02;0,00;0,00;-0,04;0,19;0,17;14,09;0,00
1953;2167085000;I;2014;-2,00;0,00;0,02;-0,01;1,00;0,99;9101,00;-23,50;-0,02;-1,11;1,00;0,00;0,06;0,00;0,00;-0,07;-1,01;-0,81;0,00;-0,98;1,98;-0,50;73,36;0,91;18,24;1,00;0,02;0,06;0,92;0,06;0,05;1,21;67,93;0,97;16,66;0,00;0,08;0,07;0,09;0,05;-0,05;-0,07;0,98;11,08;0,00
1954;7256943250;I;2017;0,04;0,01;0,00;0,00;1,00;1,00;14742,47;131,42;0,01;0,00;0,00;1,27;1,27;1,26;0,01;0,84;0,21;0,14;0,01;0,21;0,79;0,27;144,49;0,00;0,79;0,00;0,00;0,80;0,21;1,00;0,06;2,98;360,47;2,46;3,74;14,24;1,00;0,53;0,79;1,00;0,02;0,07;1,00;10,60;0,00
1955;6027059000;I;2015;-0,01;-0,01;-0,01;-0,01;1,00;1,00;10903,77;-65,09;-0,01;0,00;0,00;3,75;3,75;2,10;1,66;0,84;0,73;0,52;0,31;0,73;0,27;2,75;150,00;0,00;0,27;0,00;0,00;0,67;0,33;1,00;0,06;1,49;3,39;1,32;2,32;1,91;0,23;0,04;0,06;0,23;0,13;-0,16;-1,00;9,23;0,00
1956;6741479000;I;2016;0,05;0,03;0,00;0,00;1,01;1,00;15106,96;168,72;-0,02;0,04;0,00;1,51;1,68;1,01;0,51;2,30;0,36;0,09;0,06;0,48;0,52;0,91;47,57;0,00;0,60;0,00;0,12;0,53;0,35;0,88;0,52;4,93;30,78;5,90;10,71;11,44;0,17;0,02;0,09;0,17;0,46;0,25;-0,37;9,82;0,00
1957;6545009000;I;2014;0,73;0,12;0,02;0,01;1,02;1,01;18554,00;636,33;0,05;0,00;0,00;0,88;1,06;0,83;0,08;0,67;0,05;0,01;0,01;0,17;0,83;0,20;12,13;0,00;0,95;0,00;0,10;0,24;0,63;0,88;1,06;8,36;172,25;13,72;34,65;177,59;0,57;0,11;0,47;0,57;0,02;0,07;1,00;11,15;0,00
1958;2333961000;I;2015;0,11;0,03;0,74;0,46;1,30;1,86;139959,23;53288,52;0,06;0,07;0,00;0,12;0,12;0,03;0,88;0,90;-0,10;-0,76;0,08;0,34;0,66;0,51;6,60;0,54;8,19;0,00;0,83;0,01;0,16;0,01;0,00;0,13;7,38;0,35;1,69;0,00;-0,28;-0,25;-0,03;-0,05;-0,07;-0,74;0,42;16,13;0,00
1959;6286798000;I;2013;0,34;0,05;-0,02;-0,02;1,00;0,98;10594,41;208,95;-0,11;0,01;0,00;1,13;1,17;0,04;1,09;3,79;0,15;0,03;0,16;0,15;0,85;0,17;150,00;0,00;0,85;0,00;0,00;1,00;0,00;1,00;0,06;11,88;12,80;10,92;12,10;80,78;-0,11;-0,02;-0,09;-0,11;0,02;0,07;1,00;10,88;0,00
1960;6512577000;I;2014;1,29;0,87;0,61;0,56;1,95;2,25;139959,23;53288,52;0,70;0,00;0,00;4,37;4,37;4,07;0,30;0,84;0,77;0,65;0,06;0,77;0,23;3,37;0,32;0,00;0,23;0,00;0,00;0,83;0,17;1,00;0,06;2,03;34,24;3,43;1,10;2,53;3,33;0,64;0,76;3,01;4,97;307,45;1,00;10,71;0,00
1961;6494595000;I;2014;-2,00;-0,54;-0,12;-0,22;0,81;0,82;6422,60;-14293,79;-0,28;-0,01;1,00;0,08;0,12;0,06;0,16;-0,24;-1,07;-0,85;0,02;-0,21;1,21;-0,18;150,00;0,00;8,41;1,00;0,83;0,14;0,00;0,14;1,12;2,33;94,63;13,35;12,41;0,00;-0,06;-0,06;-0,07;-0,06;10,80;0,07;-0,97;11,36;0,00
1962;1760190000;I;2015;0,08;0,03;0,08;0,02;1,03;1,03;18554,00;636,33;0,03;-0,49;0,00;0,79;1,12;0,79;0,01;0,68;0,08;0,07;0,00;0,31;0,69;0,45;7,51;0,00;0,89;0,00;0,00;0,51;0,49;0,78;0,00;1,16;54,62;2,05;2,18;17,44;-0,01;-0,01;-0,01;-0,01;0,27;0,31;1,00;9,33;0,00
1963;6579035000;I;2015;-2,00;-0,90;-0,10;-0,11;0,91;0,90;14502,67;-11661,33;-1,28;0,04;0,00;0,44;0,59;0,22;0,23;-2,69;-0,68;-0,06;0,03;-0,68;1,68;-0,40;150,00;0,00;1,69;1,00;0,00;0,72;0,27;0,99;0,06;8,56;35,39;7,40;13,72;0,00;-0,33;-0,05;-0,56;-0,33;-0,45;2,08;-1,00;9,54;0,00
1964;1965484000;I;2014;0,08;0,03;0,08;0,02;1,02;1,02;30520,59;1456,86;0,06;0,22;0,00;0,66;0,77;0,54;0,16;0,77;-0,11;-0,04;0,02;0,45;0,55;0,81;2,14;0,05;1,30;0,00;0,59;0,37;0,00;0,38;0,02;3,08;43,25;8,30;8,97;0,00;0,72;0,11;0,36;0,65;-0,11;-0,15;-0,16;10,65;0,00
1965;3280926000;I;2016;-0,13;-0,05;-0,01;-0,02;0,99;0,98;19127,60;-908,56;-0,08;0,34;1,00;0,91;1,16;0,71;0,19;0,89;0,10;0,02;0,03;0,40;0,60;0,66;150,00;0,00;0,86;0,00;0,28;0,69;0,01;0,70;0,19;3,96;26,34;5,02;5,70;27,49;0,16;0,03;0,10;0,16;0,00;0,07;0,48;11,20;0,00
1966;6114105000;I;2013;-2,00;-0,23;0,11;-0,43;0,69;0,70;23600,00;-64813,36;-0,20;-1,16;1,00;0,32;0,32;0,25;0,14;-3,74;-1,49;-3,23;0,31;-1,18;2,18;-0,54;41,70;0,00;3,17;1,00;0,29;0,69;0,00;0,69;-0,40;0,38;2,85;0,46;0,92;0,00;0,22;1,03;0,48;0,22;0,28;-0,72;0,70;10,56;0,00
1967;5701520000;I;2015;-2,00;-0,10;-0,03;-0,09;0,92;0,92;12846,00;-1957,00;-0,10;0,00;1,00;0,10;0,33;0,01;0,09;-0,22;-0,80;-0,70;0,10;-0,20;1,20;-0,17;150,00;0,00;3,01;1,00;0,60;0,40;0,00;0,40;0,00;1,13;20,65;0,40;3,12;0,00;0,00;0,00;0,00;0,00;-0,03;0,22;0,51;9,84;0,00
1968;6613101000;I;2016;0,01;0,01;0,01;0,01;1,01;1,01;18554,00;636,33;0,01;0,00;0,00;1,71;1,71;1,60;0,11;0,84;0,42;0,31;0,05;0,42;0,59;0,71;84,03;0,00;0,59;0,00;0,00;0,07;0,93;1,00;0,06;1,44;34,58;1,39;34,36;3,24;0,17;0,07;0,10;0,17;0,18;0,42;-0,26;9,82;0,00
1969;6700616000;I;2014;-1,96;-0,44;-0,27;-0,29;0,77;0,77;24171,43;-17680,95;-0,22;0,00;0,00;0,20;0,21;0,20;0,00;0,26;-0,62;-0,83;0,00;0,22;0,78;0,29;150,00;0,00;4,80;0,00;0,84;0,16;0,00;0,16;1,02;1,49;19,88;2,66;11,73;0,00;0,16;0,17;0,12;0,16;0,02;0,07;-1,00;9,74;0,00
1970;6302670000;I;2016;-2,00;0,04;0,01;0,00;1,00;1,00;16419,63;336,86;0,03;-0,52;0,00;0,46;0,61;0,33;0,13;-0,61;-0,48;-0,06;0,02;-0,21;1,21;-0,18;20,22;0,00;1,65;1,00;0,17;0,64;0,00;0,73;0,97;9,24;41,08;5,78;13,87;0,00;0,30;0,05;0,37;0,30;0,43;0,18;1,00;10,11;0,00
1971;6520413000;I;2014;0,23;0,15;0,03;0,03;1,03;1,03;19221,32;490,86;0,09;0,00;0,00;2,89;2,89;2,89;0,00;0,84;0,65;0,22;0,00;0,65;0,35;1,89;3,86;0,00;0,35;0,00;0,00;1,00;0,00;1,00;0,06;5,89;19,88;0,13;5,71;9,01;1,22;0,14;0,42;1,22;0,02;0,07;1,00;9,47;0,00
1972;6635938000;I;2014;1,65;0,75;0,22;0,22;1,27;1,27;32691,26;13650,57;0,45;0,00;0,00;1,57;1,80;0,60;1,03;3,43;0,44;0,21;0,25;0,45;0,55;0,82;1,22;0,00;0,56;0,00;0,01;0,98;0,00;0,99;1,09;4,19;7,87;4,56;3,36;9,60;0,41;0,11;0,23;0,41;0,02;0,07;1,00;11,47;0,00
1973;2159201000;I;2016;0,15;0,04;0,05;0,02;1,02;1,02;16948,49;703,88;0,07;0,21;0,00;0,99;1,08;0,83;0,16;1,17;0,05;0,01;0,03;0,32;0,68;0,47;3,60;0,11;0,92;0,00;0,31;0,19;0,37;0,62;0,25;3,60;49,31;5,18;20,01;0,00;0,40;0,06;0,23;0,34;-0,06;0,03;0,02;12,28;0,00
1974;3347800000;I;2015;-2,99;-0,22;-0,10;-0,13;0,88;0,89;10157,60;-1908,40;-0,24;-0,21;1,00;0,59;0,74;0,23;0,68;-0,12;-0,27;-0,15;0,21;-0,04;1,04;-0,04;150,00;0,00;1,35;1,00;0,18;0,49;0,23;0,77;0,00;1,63;5,31;0,96;4,42;0,00;-0,25;-0,14;-0,26;-0,25;-0,19;0,31;-0,14;9,89;0,00
1975;3593991000;I;2015;0,02;0,01;0,24;0,06;1,04;1,06;39426,15;3191,80;0,01;0,10;0,00;0,72;0,81;0,24;1,18;0,97;-0,02;-0,10;0,24;0,33;0,67;0,49;12,64;0,56;1,24;0,00;0,91;0,09;0,00;0,09;0,06;0,20;2,36;0,57;1,02;0,00;-2,12;-1,05;-0,24;-0,35;-0,12;-0,60;-0,72;13,64;0,00
1976;3952746000;I;2016;0,10;0,05;0,02;0,01;1,01;1,01;11636,74;328,01;0,04;0,02;0,00;1,56;1,83;1,44;0,12;2,17;0,41;0,10;0,02;0,42;0,58;0,73;7,89;0,08;0,55;0,00;0,10;0,90;0,00;0,90;0,47;4,62;135,64;7,18;5,52;10,25;0,49;0,06;0,24;0,42;0,70;0,41;0,07;9,95;0,00
1977;5645387000;I;2014;-6,19;-0,16;0,00;-0,05;0,95;0,96;13428,57;-1902,46;-0,14;-0,57;1,00;0,13;0,22;0,07;0,18;-0,08;-0,84;-0,27;0,02;-0,07;1,07;-0,07;305,50;0,00;4,58;1,00;0,76;0,23;0,00;0,23;-0,01;2,93;64,36;5,53;13,44;0,00;-0,05;-0,02;-0,05;-0,05;-0,13;0,01;-0,23;10,02;0,00
1978;5764173000;I;2014;-0,12;-0,05;0,10;-0,05;0,95;0,95;21578,75;-3403,75;-0,05;0,20;1,00;0,13;0,16;0,12;0,02;0,74;-0,25;-0,24;0,00;0,43;0,57;0,76;5,61;0,28;6,38;0,00;0,96;0,05;0,00;0,05;0,13;0,96;219,44;11,85;0,00;0,00;1,38;0,39;0,40;0,70;-0,13;-0,17;-0,60;10,78;0,00
1979;3662195000;I;2016;0,18;0,09;0,04;0,04;1,04;1,04;16489,43;2127,15;0,10;0,33;0,00;2,44;3,99;0,00;5,67;1,61;0,62;0,25;0,20;0,52;0,48;1,08;4,55;0,27;0,25;0,00;0,17;0,83;0,00;0,83;-0,28;2,66;6,55;18,33;3,29;5,85;-0,67;-0,06;-0,14;-0,29;0,19;0,17;0,03;11,20;0,00
1980;2290871000;I;2013;-2,00;0,09;0,04;0,01;1,01;1,01;22094,88;1251,16;0,06;-1,05;0,00;0,08;0,23;0,07;0,01;-0,93;-1,38;-0,20;0,00;-0,80;1,80;-0,45;7,72;0,00;4,27;1,00;0,54;0,42;0,00;0,42;0,22;6,87;797,28;3,71;16,85;0,00;0,10;0,03;0,17;0,10;0,03;0,18;-0,43;10,35;0,00
1981;1816047000;I;2013;-0,50;-0,01;0,08;-0,14;0,95;0,88;8460,58;-1019,71;-0,03;-0,05;0,00;0,04;0,04;0,03;0,42;0,02;-0,93;-5,19;0,06;0,02;0,98;0,02;71,40;0,00;27,67;0,00;0,96;0,04;0,00;0,04;0,13;0,18;7,72;2,56;1,82;0,00;0,05;0,28;0,05;0,05;-0,03;-0,23;-1,00;11,80;0,00
1982;5304300000;I;2014;-0,07;-0,04;-0,01;-0,04;0,99;0,96;35251,65;-2793,41;-0,10;0,26;0,00;1,89;2,07;1,86;0,04;1,56;0,31;0,13;0,00;0,51;0,50;1,02;150,00;0,21;0,48;0,00;0,32;0,34;0,35;0,59;0,78;2,34;73,92;5,75;4,75;7,47;0,30;0,04;0,09;0,17;0,01;0,07;-1,00;11,13;0,00
1983;5703140000;I;2013;-2,00;-0,23;-0,51;-0,77;0,57;0,57;4202,00;-15586,00;-0,50;-2,67;1,00;0,04;0,16;0,01;0,04;-1,02;-1,39;-2,14;0,09;-2,66;3,66;-0,73;150,00;1,71;7,62;1,00;0,03;0,26;0,00;0,26;0,00;0,30;11,38;0,36;2,61;0,00;-0,04;-0,11;-0,07;-0,02;-0,70;-0,04;-0,37;10,35;0,00
1984;1510258000;I;2014;-2,00;0,31;0,07;0,07;1,08;1,08;24964,00;9058,00;0,33;-0,57;0,00;0,00;0,41;0,00;0,00;0,35;-0,38;-0,08;0,00;0,11;0,89;0,12;2,53;0,24;2,43;0,00;0,15;0,27;0,00;0,27;0,07;4,81;19,88;4,94;16,27;0,00;0,09;0,01;0,06;0,06;0,03;0,04;0,12;9,60;0,00
1985;5520541000;I;2017;-0,03;-0,01;-0,03;-0,07;1,00;0,94;12677,01;-534,48;-0,06;0,06;0,00;1,16;1,29;0,69;0,47;1,02;0,03;0,03;0,05;0,10;0,91;0,11;150,00;0,81;0,78;0,00;0,88;0,12;0,00;0,12;0,74;1,36;28,59;8,79;10,03;0,00;0,14;0,02;0,01;0,02;2,14;0,08;-1,00;12,46;0,00
1986;6578748000;I;2016;0,01;0,01;0,01;0,00;1,00;1,00;25452,56;125,32;0,01;0,53;0,00;4,73;4,73;3,32;1,41;20,13;0,76;0,12;0,04;0,80;0,20;3,93;2,64;0,00;0,21;0,00;0,04;0,45;0,51;0,96;0,59;6,42;19,18;21,21;14,46;9,04;0,63;0,02;0,13;0,63;-0,05;0,01;-0,90;10,35;0,00
1987;5891396000;I;2017;-2,00;0,01;0,36;0,08;1,08;1,09;18554,00;636,33;0,01;-0,48;0,00;0,06;0,06;0,00;3,65;-0,37;-1,26;-7,78;0,50;-0,34;1,34;-0,25;23,05;0,00;15,84;1,00;0,45;0,08;0,47;0,09;0,00;0,16;1,99;2,34;1,26;0,00;0,01;0,10;0,02;0,01;-0,04;0,13;-0,12;11,49;0,00
1988;1849778000;I;2015;0,01;0,00;-0,01;-0,02;1,00;0,98;13578,30;33,15;-0,06;0,11;0,00;1,58;1,63;1,38;0,20;1,11;0,16;0,05;0,02;0,17;0,83;0,20;150,00;0,49;0,82;0,00;0,42;0,43;0,15;0,43;0,64;4,60;23,49;11,73;8,04;17,11;1,15;0,08;0,30;0,36;0,81;-0,15;-0,92;12,00;0,00
1989;6732062000;I;2016;0,03;0,01;0,01;0,00;1,00;1,00;13444,53;116,66;0,01;0,00;0,00;1,16;1,21;0,29;0,87;6,38;0,10;0,03;0,12;0,51;0,49;1,03;19,87;0,00;0,83;0,00;0,05;0,11;0,14;0,60;1,25;4,60;8,49;5,26;13,27;27,25;-0,55;-0,08;-0,27;-0,55;0,82;0,13;1,00;9,62;0,00
1990;3378225000;I;2017;0,20;0,17;0,39;0,37;1,56;1,58;49585,62;25535,20;0,19;0,65;0,00;1,47;1,47;1,16;0,31;1,09;0,07;0,14;0,09;0,85;0,15;5,59;0,74;0,00;0,68;0,00;0,78;0,22;0,00;0,22;0,00;0,57;14,03;2,21;2,25;0,00;1,61;0,47;0,24;1,61;0,18;1,40;0,65;12,03;0,00
1991;7128690000;I;2017;0,42;0,29;0,34;0,34;1,51;1,51;39145,48;20201,44;0,25;0,05;0,00;2,20;2,41;0,30;1,89;6,51;0,59;0,78;1,05;0,59;0,42;1,41;1,64;0,00;0,42;0,00;0,00;1,00;0,00;1,00;0,06;1,07;1,30;1,62;0,71;1,55;0,23;0,13;0,09;0,23;1,52;-0,63;0,60;10,03;0,00
